title,gross_income,budget,year
Toy Story,373554033.0,30000000,1995
Jumanji,262797249.0,65000000,1995
Waiting to Exhale,81452156.0,16000000,1995
Heat,187436818.0,60000000,1995
Sudden Death,64350171.0,35000000,1995
GoldenEye,352194034.0,58000000,1995
The American President,107879496.0,62000000,1995
Nixon,13681765.0,44000000,1995
Cutthroat Island,10017322.0,98000000,1995
Casino,116112375.0,52000000,1995
Sense and Sensibility,135000000.0,16500000,1995
Four Rooms,4300000.0,4000000,1995
Ace Ventura: When Nature Calls,212385533.0,30000000,1995
Money Train,35431113.0,60000000,1995
Get Shorty,115101622.0,30250000,1995
Assassins,30303072.0,50000000,1995
Leaving Las Vegas,49800000.0,3600000,1995
Now and Then,27400000.0,12000000,1995
The City of Lost Children,1738611.0,18000000,1995
Twelve Monkeys,168840000.0,29500000,1995
Babe,254134910.0,30000000,1995
Dead Man Walking,39363635.0,11000000,1995
Mortal Kombat,122195920.0,18000000,1995
To Die For,21284514.0,20000000,1995
How To Make An American Quilt,23574130.0,10000000,1995
Se7en,327311859.0,33000000,1995
Pocahontas,346079773.0,55000000,1995
The Usual Suspects,23341568.0,6000000,1995
Mighty Aphrodite,6700000.0,15000000,1995
Friday,28215918.0,3500000,1995
From Dusk Till Dawn,25836616.0,19000000,1996
Fair Game,11534477.0,50000000,1995
Big Bully,2042530.0,15000000,1996
Screamers,5781885.0,20000000,1995
Things to Do in Denver When You're Dead,529766.0,8000000,1995
White Squall,10300000.0,38000000,1996
Nick of Time,8175346.0,8169363,1995
Mary Reilly,12379402.0,47000000,1996
Vampire in Brooklyn,19800000.0,14000000,1995
Broken Arrow,150270147.0,50000000,1996
Bottle Rocket,560069.0,7000000,1996
Happy Gilmore,41205099.0,12000000,1996
The Bridges of Madison County,182016617.0,24000000,1995
Braveheart,210000000.0,72000000,1995
Rumble in the Bronx,32392047.0,7500000,1995
Steal Big Steal Little,6278139.0,25000000,1995
Boomerang,70100000.0,40000000,1992
Flirting with Disaster,14702438.0,7000000,1996
Jade,9851610.0,50000000,1995
The Birdcage,185260553.0,31000000,1996
Bad Boys,141407024.0,19000000,1995
An Awfully Big Adventure,851545.0,4000000,1995
Apollo 13,355237933.0,52000000,1995
Rob Roy,31596911.0,28000000,1995
Batman Forever,336529144.0,100000000,1995
Blue in the Face,1275000.0,2000000,1995
Canadian Bacon,178104.0,11000000,1995
Casper,287928194.0,50000000,1995
Clockers,13071518.0,25000000,1995
Congo,152022101.0,50000000,1995
Crimson Tide,157387195.0,53000000,1995
Desperado,25405445.0,7000000,1995
Devil in a Blue Dress,16140822.0,27000000,1995
Die Hard: With a Vengeance,366101666.0,90000000,1995
First Knight,127600435.0,55000000,1995
Hackers,7563728.0,20000000,1995
Johnny Mnemonic,19075720.0,25000000,1995
Judge Dredd,113493481.0,90000000,1995
Kids,7412216.0,1500000,1995
Living in Oblivion,1148752.0,500000,1995
Mallrats,2122561.0,6000000,1995
Mighty Morphin Power Rangers: The Movie,66000000.0,15000000,1995
The Net,110627965.0,22000000,1995
Party Girl,472370.0,150000,1995
The Scarlet Letter,10382407.0,50000000,1995
Showgirls,20350754.0,45000000,1995
Smoke,8349430.0,7000000,1995
Species,113374103.0,35000000,1995
Strange Days,7959291.0,42000000,1995
The Tie That Binds,5780000.0,14000000,1995
Under Siege 2: Dark Territory,104324083.0,60000000,1995
A Walk in the Clouds,50012507.0,20000000,1995
Waterworld,264218220.0,175000000,1995
Burnt by the Sun,2616503.0,2800000,1994
Before Sunrise,5535405.0,2500000,1995
Billy Madison,26488734.0,10000000,1995
Boys on the Side,23450000.0,21000000,1995
Clerks,3151130.0,27000,1994
Don Juan DeMarco,22200000.0,25000000,1994
Disclosure,214015089.0,55000000,1994
Dumb and Dumber,247275374.0,16000000,1994
Ed Wood,5887457.0,18000000,1994
Hideaway,12201255.0,15000000,1995
Hoop Dreams,7830611.0,700000,1994
Heavenly Creatures,3049135.0,5000000,1994
Houseguest,26325256.0,10500000,1995
Interview with the Vampire,223664608.0,60000000,1994
Jefferson in Paris,2474000.0,14000000,1995
Junior,37000000.0,60000000,1994
Like Water for Chocolate,21665468.0,2000000,1992
Legends of the Fall,160638883.0,30000000,1994
Losing Isaiah,7603766.0,17000000,1995
Mary Shelley's Frankenstein,112006296.0,45000000,1994
Nell,106683817.0,31000000,1994
Natural Born Killers,50282766.0,34000000,1994
Outbreak,189859560.0,50000000,1995
Leon: The Professional,45284974.0,16000000,1994
The Perez Family,2832826.0,11000000,1995
Pulp Fiction,213928762.0,8000000,1994
Pushing Hands,152322.0,400000,1992
The Quick and the Dead,18552460.0,32000000,1995
Roommates,12400000.0,22000000,1995
PrÃªt-Ã -Porter,11300653.0,15000000,1994
The Swan Princess,9771658.0,35000000,1994
The Specialist,170362582.0,45000000,1994
Stargate,196567262.0,55000000,1994
The Santa Clause,189833357.0,22000000,1994
The Shawshank Redemption,28341469.0,25000000,1994
Tank Girl,4064495.0,25000000,1995
Star Trek: Generations,120000000.0,38000000,1994
Tales from the Hood,12000000.0,6000000,1995
What's Eating Gilbert Grape,10032765.0,11000000,1993
Virtuosity,24048000.0,30000000,1995
While You Were Sleeping,182057016.0,17000000,1995
Muriel's Wedding,15119639.0,3000000,1994
Ace Ventura: Pet Detective,107217396.0,15000000,1994
Bitter Moon,1862805.0,5000000,1992
Clear and Present Danger,215887717.0,62000000,1994
The Client,117615211.0,45000000,1994
The Crow,94000000.0,15000000,1994
The Flintstones,341631208.0,46000000,1994
Forrest Gump,677945399.0,55000000,1994
Four Weddings and a Funeral,254700832.0,6000000,1994
I Love Trouble,61947267.0,45000000,1994
The Lion King,788241776.0,45000000,1994
Little Buddha,4858139.0,35000000,1993
New Nightmare,18090181.0,14000000,1994
The Mask,351583407.0,23000000,1994
The Naked Gun 33â: The Final Insult,51132598.0,30000000,1994
Reality Bites,20079850.0,11500000,1994
Red Rock West,2000000.0,8000000,1993
Speed,350448145.0,30000000,1994
Timecop,101646581.0,27000000,1994
True Lies,378882411.0,115000000,1994
Wyatt Earp,25052000.0,63000000,1994
A Low Down Dirty Shame,29392418.0,10000000,1994
Jason's Lyric,20851521.0,7000000,1994
Street Fighter,99423521.0,35000000,1994
Highlander: The Final Dimension,36800000.0,26000000,1994
In the Mouth of Madness,8946600.0,8000000,1994
The Age of Innocence,32255440.0,34000000,1993
The Air Up There,21011500.0,17080000,1994
Beverly Hills Cop III,119208989.0,50000000,1994
Body Snatchers,428868.0,13000000,1993
A Bronx Tale,17287898.0,22000000,1993
Calendar Girl,2570145.0,13000000,1993
Carlito's Way,36516012.0,30000000,1993
Cliffhanger,255000211.0,70000000,1993
Color of Night,19726050.0,40000000,1994
Dazed and Confused,7993039.0,6900000,1993
Demolition Man,159055768.0,57000000,1993
For Love or Money,11146270.0,30000000,1993
The Firm,270248367.0,42000000,1993
Free Willy,153698625.0,20000000,1993
The Fugitive,368875760.0,44000000,1993
Geronimo: An American Legend,18635620.0,35000000,1993
Hard Target,74189677.0,18000000,1993
Hot Shots! Part Deux,133752825.0,25000000,1993
In the Line of Fire,176997168.0,40000000,1993
In the Name of the Father,65796862.0,13000000,1993
Jurassic Park,920100000.0,63000000,1993
Kalifornia,2395231.0,9000000,1993
Killing Zoe,418961.0,1500000,1993
Last Action Hero,137298489.0,85000000,1993
Manhattan Murder Mystery,11285588.0,13500000,1993
Menace II Society,27900000.0,3500000,1993
Executive Decision,121969216.0,55000000,1996
Mrs. Doubtfire,441286195.0,25000000,1993
The Next Karate Kid,15826984.0,12000000,1994
No Escape,15340000.0,20000000,1994
A Perfect World,135130999.0,30000000,1993
Philadelphia,206678440.0,26000000,1993
The Piano,116700000.0,7000000,1993
Poetic Justice,27515786.0,14000000,1993
The Ref,11439193.0,11000000,1994
The Remains of the Day,23237911.0,11500000,1993
Renaissance Man,24332324.0,40000000,1994
RoboCop 3,10696210.0,22000000,1993
Robin Hood: Men in Tights,35739755.0,20000000,1993
Romeo Is Bleeding,3275585.0,11500000,1993
Ruby in Paradise,1001437.0,800000,1993
Rudy,22750363.0,12000000,1993
Schindler's List,321365567.0,22000000,1993
Serial Mom,7820688.0,13000000,1994
The Shadow,48063435.0,25000000,1994
Sleepless in Seattle,227799884.0,21000000,1993
Sliver,116300000.0,40000000,1993
So I Married an Axe Murderer,11585483.0,20000000,1993
Super Mario Bros.,20915465.0,48000000,1993
Surviving the Game,7690013.0,7400000,1994
Terminal Velocity,16478900.0,50000000,1994
The Nightmare Before Christmas,75634409.0,18000000,1993
The Three Musketeers,53898845.0,30000000,1993
Tombstone,56505065.0,25000000,1993
True Romance,12281551.0,12500000,1993
The Pagemaster,13670688.0,27000000,1994
Home Alone,476684675.0,18000000,1990
Ghost,505000000.0,22000000,1990
Aladdin,504050219.0,28000000,1992
Terminator 2: Judgment Day,520000000.0,100000000,1991
Dances with Wolves,424208848.0,22000000,1990
The Silence of the Lambs,272742922.0,19000000,1991
Beauty and the Beast,377350553.0,25000000,1991
Pretty Woman,463000000.0,14000000,1990
Fargo,60611975.0,7000000,1996
Hellraiser: Bloodline,16675000.0,4000000,1996
Primal Fear,102616183.0,30000000,1996
Girl 6,4939939.0,12000000,1996
Courage Under Fire,100860818.0,46000000,1996
Mission: Impossible,457696359.0,80000000,1996
DragonHeart,115267375.0,57000000,1996
James and the Giant Peach,28921264.0,38000000,1996
Faithful,9789900.0,13000000,1996
Space Jam,250200000.0,80000000,1996
Mrs. Winterbourne,10070000.0,25000000,1996
The Quest,57400547.0,30000000,1996
Flipper,20080020.0,25530000,1996
The Horseman on the Roof,15000000.0,35000000,1995
The Craft,24769466.0,15000000,1996
Original Gangstas,3014000.0,4800000,1996
The Rock,335062621.0,75000000,1996
Twister,494471524.0,92000000,1996
