ID,Title,Year,Budget,Gross Income
1,Spontaneous Combustion,1990,5500000,50367
2,The Adventures of Ford Fairlane,1990,20000000,21413502
3,Air America,1990,35000000,33461269
4,Alice,1990,12000000,7331647
5,Almost an Angel,1990,25000000,6939946
6,Another 48 Hrs.,1990,38000000,153518974
7,Arachnophobia,1990,22000000,53208180
8,Awakenings,1990,31000000,52096475
9,Back to the Future Part III,1990,40000000,246144250
10,Bad Influence,1990,7000000,12626043
11,Bird on a Wire,1990,20000000,138697012
12,The Bonfire of the Vanities,1990,47000000,15691192
13,Brain Dead,1990,2000000,1627955
14,Child's Play 2,1990,13000000,35763605
15,Class of 1999,1990,5200000,2459895
16,Come See the Paradise,1990,17500000,947306
17,Cry-Baby,1990,11000000,8266343
18,Dances with Wolves,1990,22000000,424208848
19,Darkman,1990,16000000,48878502
20,Days of Thunder,1990,60000000,157920733
21,Death Warrant,1990,4000000,16853487
22,Desperate Hours,1990,18000000,2742912
23,Dick Tracy,1990,47000000,162738726
24,Die Hard 2,1990,70000000,240247433
25,Don't Tell Her It's Me,1990,6700000,1171762
26,Downtown,1990,10000000,2346150
27,Edward Scissorhands,1990,20000000,86024005
28,Everybody Wins,1990,16000000,1372350
29,Fei ying gai wak,1991,115000000,10405394
30,The Field,1990,5000000,1494399
31,Fire Birds,1990,22000000,14760451
32,The First Power,1990,10000000,22424195
33,Flatliners,1990,26000000,61489265
34,Flight of the Intruder,1991,35000000,14587732
35,Fools of Fortune,1990,2500000,83490
36,The Fourth War,1990,22000000,1305887
37,Frankenhooker,1990,2500000,205068
38,Roger Corman's Frankenstein Unbound,1990,11500000,334748
39,The Garden,1990,380000,5006
40,The Gate II: Trespassers,1990,6500000,2032973
41,Ghost,1990,22000000,505706694
42,The Godfather: Part III,1990,54000000,136766062
43,Goodfellas,1990,25000000,46879633
44,Graveyard Shift,1990,10500000,11582891
45,Green Card,1990,12500000,29888235
46,Gremlins 2: The New Batch,1990,50000000,41482207
47,Hard to Kill,1990,10000000,47410827
48,Hardware,1990,1500000,5728953
49,Havana,1990,40000000,9645440
50,Home Alone,1990,18000000,476684675
51,The Hot Spot,1990,13000000,1293976
52,House Party,1990,2500000,26385627
53,The Hunt for Red October,1990,30000000,200512643
54,Haakon Haakonsen,1990,60000000,15104156
55,Dark Angel,1990,7000000,4348368
56,Jacob's Ladder,1990,25000000,26118851
57,Joe Versus the Volcano,1990,25000000,39404261
58,Kindergarten Cop,1990,15000000,201957688
59,The Last of the Finest,1990,12000000,1531489
60,Leatherface: Texas Chainsaw Massacre III,1990,2000000,5765562
61,Lionheart,1990,6000000,24271196
62,Loose Cannons,1990,15000000,5585154
63,Marked for Death,1990,12000000,57968936
64,Meet the Applegates,1990,5000000,485772
65,Memphis Belle,1990,23000000,27441977
66,Mermaids,1990,20000000,35419397
67,Metropolitan,1990,230000,2960492
68,Miller's Crossing,1990,14000000,5080409
69,Misery,1990,20000000,61276872
70,Mo' Better Blues,1990,10000000,16153593
71,Mountains of the Moon,1990,19000000,4011793
72,Mr. Destiny,1990,20000000,15379253
73,The NeverEnding Story II: The Next Chapter,1990,36000000,17373527
74,Night of the Living Dead,1990,4200000,5835247
75,Nightbreed,1990,11000000,8862354
76,Nikita,1990,50000000,5017971
77,Pacific Heights,1990,18000000,44926706
78,Postcards from the Edge,1990,22000000,39071603
79,Predator 2,1990,35000000,57120318
80,Presumed Innocent,1990,22000000,221303188
81,Pretty Woman,1990,14000000,463406268
82,Problem Child,1990,10000000,72270891
83,Quick Change,1990,15000000,15260154
84,The Rescuers Down Under,1990,30000000,27931461
85,RoboCop 2,1990,35000000,45681173
86,Rocky V,1990,42000000,119946358
87,The Rookie,1990,10000000,21633874
88,The Russia House,1990,21800000,22997992
89,The Sheltering Sky,1990,25000000,2075084
90,A Shock to the System,1990,12000000,3417056
91,Sibling Rivalry,1990,16000000,17854933
92,Slumber Party Massacre III,1990,350000,1242995
93,Spaced Invaders,1990,3000000,15369573
94,Stanley & Iris,1990,23000000,5820015
95,State of Grace,1990,18000000,1911542
96,Tales from the Darkside: The Movie,1990,3500000,16324573
97,Teenage Mutant Ninja Turtles,1990,13500000,201965915
98,Total Recall,1990,65000000,261317921
99,Tremors,1990,11000000,16667084
100,Tune in Tomorrow...,1990,11000000,1794001
101,Due occhi diabolici,1990,9000000,349618
102,The Two Jakes,1990,19000000,10005969
103,Where the Heart Is,1990,15000000,1106475
104,White Hunter Black Heart,1990,24000000,2319124
105,Wild at Heart,1990,9500000,14560247
106,Young Guns II,1990,20000000,44143410
107,Yume,1990,12000000,1963207
108,The Addams Family,1991,30000000,191502426
109,The Adjuster,1991,1500000,396573
110,Les amants du Pont-Neuf,1991,28000000,29679
111,Another You,1991,17000000,2865916
112,Article 99,1992,18000000,6375979
113,At Play in the Fields of the Lord,1991,36000000,1345903
114,Backdraft,1991,40000000,152368585
115,Barton Fink,1991,9000000,6153939
116,Beastmaster 2: Through the Portal of Time,1991,6000000,869325
117,Beauty and the Beast,1991,25000000,440118382
118,Bill & Ted's Bogus Journey,1991,20000000,38037513
119,Billy Bathgate,1991,48000000,15565363
120,Bingo,1991,10000000,8667684
121,Bis ans Ende der Welt,1991,23000000,829625
122,Body Parts,1991,10000000,9188150
123,Boyz n the Hood,1991,6500000,57529070
124,Bugsy,1991,30000000,49114016
125,Cadence,1990,4000000,2070871
126,Cape Fear,1991,35000000,182291969
127,City Slickers,1991,27000000,179033791
128,City of Hope,1991,3000000,1345015
129,Closet Land,1991,4000000,259012
130,The Commitments,1991,12000000,14919570
131,Company Business,1991,18000000,1501785
132,Cool as Ice,1991,6000000,1193062
133,Curly Sue,1991,25000000,33691313
134,Dead Again,1991,15000000,38016380
135,Delicatessen,1991,24000000,1794187
136,Delirious,1991,18000000,5546827
137,The Doors,1991,38000000,34416893
138,Double Impact,1991,15000000,30102717
139,Drop Dead Fred,1991,6788000,13878334
140,Dutch,1991,17000000,4603929
141,Dying Young,1991,18000000,82264675
142,Edward II,1991,750000,706131
143,Europa,1991,28000000,1007939
144,Eve of Destruction,1991,13000000,5451119
145,F/X2,1991,16400000,21082165
146,The Fisher King,1991,24000000,41895491
147,For the Boys,1991,40000000,23202444
148,Frankie and Johnny,1991,29000000,22773535
149,Freddy's Dead: The Final Nightmare,1991,11000000,34872033
